宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,裤长,服装版型,组合形式,穿着方式,衣长,裙长,领型,袖型,衣门襟,裙型,成分含量,服装款式细节
中老年女装夏装长袖衬衫套装大码奶奶装春装60-70-80岁老人衣服薄,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1mC5AQFXXXXXzXFXXYXGcGpXX_M2.SS2,https://detail.tmall.com/item.htm?id=548640520842&ns=1&abbucket=0,108.00,3575人付款,江苏 苏州,X-0150 ,孝慈轩 ,薄 ,聚酯 ,2017年夏季 ,民族风 ,花色 ,60周岁以上 ,九分裤 ,宽松 ,两件套 ,开衫 ,常规 ,,圆领 ,常规 ,单排扣 ,,96%及以上 ,口袋 
中老年套装女夏胖妈妈装上衣宽松老人衣服两件套奶奶装全棉绸套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB15sI4QXXXXXa2aXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=547491697025&ns=1&abbucket=0#detail,29.80,2945人付款,江苏 苏州,001,,薄,"其他,聚酯,棉",2017年夏季,休闲,花色,60周岁以上,七分裤,宽松,两件套,套头,常规,,圆领,常规,,,91%(含)-95%(含),
母亲节衣服妈妈夏装上衣女40-50岁2017夏新款雪纺衫套装中老年T恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1ozzMRXXXXXbfXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549285187165&ns=1&abbucket=0,98.00,4854人付款,浙江 嘉兴,P-X-PP0317 ,雪夕 ,,聚酯 ,2017年夏季 ,休闲 ,花鸟图案 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,POLO领 ,衬衫袖 ,,,96%及以上 ,铆钉 
中老年女装夏季两件套母亲节衣服40岁中年人妇女50妈妈装夏装套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1666568165/TB2gnZ5oXXXXXXHXXXXXXXXXXXX_!!1666568165.jpg,https://item.taobao.com/item.htm?id=531189060957&ns=1&abbucket=0#detail,39.90,2903人付款,江苏 苏州,,,薄,雪纺,"2016年夏季,2017年夏季",时尚,大花,40-49周岁,七分裤,宽松,两件套,套头,中长款,,V领,常规,,,,
60-70岁80老年人夏装套装女老人长袖奶奶装老太太夏季纯棉两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2609180200/TB26T9AgItnpuFjSZFKXXalFFXa_!!2609180200.jpg,https://item.taobao.com/item.htm?id=545780051102&ns=1&abbucket=0#detail,69.00,3369人付款,江苏 苏州,,,适中,"棉,其他","2017年春季,2017年夏季",休闲,花色,60周岁以上,长裤,宽松,两件套,连体,,,圆领,常规,单排扣,,96%及以上,口袋
母亲节妈妈夏装宽松套装中年女装短袖t恤+裤子老年绣花两件套新款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2870284172/TB26BaLhNRDOuFjSZFzXXcIipXa_!!2870284172.jpg,https://item.taobao.com/item.htm?id=548525036646&ns=1&abbucket=0#detail,62.00,3144人付款,江苏 苏州,3450,福妈锦缘,薄,棉麻,2017年夏季,时尚,花鸟图案,40-49周岁,七分裤,宽松,两件套,套头,短款,,V领,常规,,,96%及以上,绣花
奶奶装夏装套装中老年女装两件套老人母亲节衣服夏季妈妈60-70岁,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1sKCUQFXXXXapXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546439069356&ns=1&abbucket=0,89.00,3769人付款,江苏 苏州,XQA1614 ,夏清 ,薄 ,棉 ,2017年春季 ,休闲 ,碎花 ,60周岁以上 ,,宽松 ,单件 ,开衫 ,常规 ,,圆领 ,常规 ,单排扣 ,,81%(含)-90%(含) ,口袋 
母亲节中年妈妈夏装套装阔腿裤春装中老年女夏季衣服两件套40岁50,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1tKG9QpXXXXb9XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547900803130&ns=1&abbucket=0,148.00,4957人付款,湖北 武汉,S17TZ0821 ,SONMELLNY/尚曼妮 ,薄 ,聚酯 ,2017年夏季 ,民族风 ,花色 ,40-49周岁 ,九分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,81%(含)-90%(含) ,纽扣 
母亲节中老年女装运动套装中年妈妈夏装大码T恤裤子2017新款40岁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1H9Q7QVXXXXajaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548737413311&ns=1&abbucket=0,159.00,5672人付款,湖北 武汉,ZX17B28766 ,籽煊 ,薄 ,聚酯 ,2017年夏季 ,运动 ,条纹 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,连帽 ,常规 ,,,31%(含)-50%(含) ,口袋 
中老年女装40-50岁妈妈装夏装套装短袖上衣T恤中年人大码雪纺衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1670211541/TB2E4BqiYXlpuFjSszfXXcSGXXa_!!1670211541.jpg,https://item.taobao.com/item.htm?id=546641572995&ns=1&abbucket=0#detail,26.90,4845人付款,江苏 苏州,,other/其他,适中,"聚酯,其他",2017年夏季,民族风,纯色,40-49周岁,,宽松,单件,套头,常规,,圆领,常规,,,96%及以上,
妈妈装春装大码女装雪纺连衣裙开衫女2017夏装新款中老年两件套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/856746417/TB2kGmohbtlpuFjSspoXXbcDpXa_!!856746417.jpg,https://item.taobao.com/item.htm?id=546400932690&ns=1&abbucket=0#detail,89.00,5757人付款,广东 深圳,AU071,宫纱,薄,其他,"2017年春季,2017年夏季",民族风,其他,,,宽松,两件套,开衫,中长款,中长款,POLO领,常规,单排扣,,81%(含)-90%(含),纽扣
中老年女装春装2017新款套装中年妈妈装夏装30-40-50岁连衣裙外套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1qcgVPVXXXXceXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546514965318&ns=1&abbucket=0,98.00,5715人付款,浙江 杭州,XZJFS99 ,九额娘 ,适中 ,聚酯 ,2017年春季 ,时尚 ,花色 ,40-49周岁 ,,宽松 ,两件套 ,开衫 ,常规 ,,圆领 ,,单排扣 ,,96%及以上 ,
母亲节衣服夏季妈妈装夏装短袖中年人40-50岁套装中老年女装T恤上,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1c2J1QVXXXXcVXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548465282575&ns=1&abbucket=0,69.00,5001人付款,江苏 苏州,28808TX ,云新 ,薄 ,其他 ,2017年夏季 ,民族风 ,花鸟图案 ,40-49周岁 ,,宽松 ,单件 ,套头 ,常规 ,,圆领 ,,,,96%及以上 ,
中老年人女装夏装套装60-70-80岁奶奶装夏季中袖老人衣服上衣裤子,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/1867836657/TB2qvSAk9FjpuFjSszhXXaBuVXa_!!1867836657.jpg,https://item.taobao.com/item.htm?id=548232889262&ns=1&abbucket=0#detail,78.00,3986人付款,江苏 苏州,F3W86,,薄,"聚酯,其他",2017年夏季,休闲,花色,60周岁以上,九分裤,宽松,两件套,开衫,常规,,圆领,常规,单排扣,,,绣花
母亲节中老年女装套装夏装妈妈装短袖60-70-80岁老年人衣服奶奶装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1MvhDQFXXXXaUaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=531248255516&ns=1&abbucket=0,79.00,2850人付款,江苏 苏州,YX8549 ,雨鑫 ,薄 ,其他 ,2017年夏季 ,福态 ,花色 ,60周岁以上 ,九分裤 ,宽松 ,两件套 ,开衫 ,常规 ,,圆领 ,常规 ,单排扣 ,,96%及以上 ,纽扣 
中老年女装夏季雪纺衫短袖T恤中年妈妈装套装大码宽松七分裤上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1014350737/TB2Qs3ilxXlpuFjSsphXXbJOXXa_!!1014350737.jpg,https://item.taobao.com/item.htm?id=545656074466&ns=1&abbucket=0#detail,29.80,3414人付款,江苏 苏州,A-3368,,适中,雪纺,2017年夏季,新潮,花色,40-49周岁,,宽松,单件,套头,常规,,圆领,常规,,,91%(含)-95%(含),绣花
母亲节衣服夏季妈妈装夏装套装60中老年人棉麻短袖中年女装两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/324984070/TB2Lu5Oh3JlpuFjSspjXXcT.pXa_!!324984070.jpg,https://item.taobao.com/item.htm?id=546858842225&ns=1&abbucket=0#detail,98.00,3659人付款,浙江 嘉兴,,艾尚豪,薄,"棉麻,棉,麻,其他",2017年夏季,时尚,大花,40-49周岁,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,96%及以上,纽扣
香颜妈妈装夏装时尚套装中老年女装夏季2017新款两件套短袖上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1YbCIQVXXXXXsXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549433436969&ns=1&abbucket=0,158.00,4553人付款,浙江 嘉兴,XYALC1718 ,香颜 ,薄 ,其他 ,2017年夏季 ,时尚 ,其他 ,40-49周岁 ,,宽松 ,单件 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
中老年女装夏装花色短袖上衣七分裤套装夏季中年妈妈装上衣裤套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB17kl6QVXXXXcMXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549552579814&ns=1&abbucket=0,69.00,4008人付款,上海,5580 ,简港 ,适中 ,其他 ,2017年夏季 ,时尚 ,花色 ,,七分裤 ,直筒 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
中老年女装夏装套装假两件大码中年女40-50岁t恤妈妈夏装 两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1584180606/TB2cPijoB8lpuFjy0FnXXcZyXXa_!!1584180606.jpg,https://item.taobao.com/item.htm?id=548705789246&ns=1&abbucket=0#detail,39.90,2828人付款,江苏 苏州,,,,蕾丝,2017年夏季,时尚,花鸟图案,40-49周岁,,宽松,单件,套头,中长款,,,常规,,,,镶钻
中年女装春装2017新款套装母亲节衣服妈妈装夏装时髦阔腿裤30岁40,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1UOBjQFXXXXckXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548381405730&ns=1&abbucket=0,98.00,4699人付款,浙江 嘉兴,WD-A-01 ,宝莲朵 ,薄 ,聚酯 ,2017年夏季 ,知性 ,其他 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,其他 ,常规 ,,,96%及以上 ,钉珠 
中年妈妈装夏装两件套装中老年女装短袖雪纺衫t恤新款上衣40-50岁,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1g7A3QpXXXXXEXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548285224373&ns=1&abbucket=0,69.00,3673人付款,江苏 苏州,T49 ,玛依恋 ,薄 ,其他 ,2017年夏季 ,时尚 ,其他 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,,,圆领 ,,,,96%及以上 ,纱网 
中老年女装夏装雪纺短袖T恤套装妈妈装大码宽松七分裤上衣两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1CN.3JFXXXXanXpXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=532802677552&ns=1&abbucket=0#detail,35.00,3023人付款,江苏 苏州,,,薄,"雪纺,其他","2016年夏季,2017年夏季",时尚,花色,40-49周岁,七分裤,修身,两件套,套头,常规,,圆领,常规,,,,镶钻
中老年运动服套装中年妈妈装春装外套女装40岁50夏装套装2017新款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1LOPJRXXXXXalaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=538096248204&ns=1&abbucket=0,178.00,5053人付款,湖北 武汉,J95508 ,欧芮嘉 ,适中 ,棉 ,2016年秋季 ,运动 ,纯色 ,40-49周岁 ,长裤 ,宽松 ,三件套 ,开衫 ,短款 ,,POLO领 ,常规 ,拉链 ,,51%(含)-70%(含) ,拉链 
中老年夏装季女T恤2017新款母亲节衣服时尚妈妈套装雪纺衫40-50岁,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1iNaoQVXXXXaLXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549148005814&ns=1&abbucket=0,138.00,4642人付款,江苏 苏州,BLD17196T ,MUSHOWMO/慕袖 ,,,2017年夏季 ,时尚 ,其他 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,短款 ,,圆领 ,常规 ,,,,
中老年女夏装套装短袖妈妈装老人衣服女60-70-80岁奶奶夏装两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2112410990/TB2nHTXjChlpuFjSspkXXa1ApXa_!!2112410990.jpg,https://item.taobao.com/item.htm?id=546815125957&ns=1&abbucket=0#detail,39.00,2380人付款,江苏 苏州,,,薄,"聚酯,棉,其他",2017年夏季,民族风,花色,60周岁以上,九分裤,宽松,两件套,开衫,常规,,圆领,常规,单排扣,,51%(含)-70%(含),绣花
千百怡恋中年女夏装短袖套装新款妈妈装时尚大码t恤阔腿裤两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1dNZrQVXXXXbBaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549368577080&ns=1&abbucket=0,148.00,4391人付款,上海,Q7TA220 ,千百·怡恋 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,抽象图案 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,短款 ,,圆领 ,常规 ,,,96%及以上 ,口袋 
妈妈夏装运动套装女母亲节衣服夏季中年女装春装新款两件套中老年,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1q1mIRXXXXXXDXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545211028853&ns=1&abbucket=0,179.00,4503人付款,湖北 武汉,F3169 ,FIRMSOAR/菲蒙索尔 ,薄 ,棉 ,2017年夏季 ,时尚 ,条纹 ,50-59周岁 ,长裤 ,宽松 ,两件套 ,套头 ,中长款 ,,圆领 ,常规 ,,,81%(含)-90%(含) ,口袋 
老人夏装套装衣服夏季奶奶装中老年人女装60-70岁短袖太太上衣80,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1BsW6RXXXXXc.apXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548131314779&ns=1&abbucket=0,108.00,3777人付款,江苏 苏州,XZ-41套装 ,筱芙 ,适中 ,其他 ,2017年夏季 ,福态 ,复古图案 ,60周岁以上 ,九分裤 ,宽松 ,两件套 ,开衫 ,短款 ,,圆领 ,常规 ,单排扣 ,,96%及以上 ,
母亲节衣服夏季中老年女装夏装短袖套装雪纺衫T恤妈妈装两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1chPDQVXXXXXnapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=44341542013&ns=1&abbucket=0,79.00,5620人付款,江苏 苏州,YUN-3055 ,蕴涵 ,,聚酯 ,2016年夏季 ,时尚 ,花色 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,中长款 ,,V领 ,常规 ,,,96%及以上 ,
中老年女装夏季短袖中年人上衣大码t恤40-50岁妈妈装夏装套装奶奶,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1yaDaHpXXXXavaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=44259754466&ns=1&abbucket=0,69.00,2900人付款,江苏 苏州,MNS15X021 ,摩尼树 ,薄 ,其他 ,2015年夏季 ,休闲 ,其他 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,,,圆领 ,,,,96%及以上 ,
奶奶装夏装套装短袖上衣女妈妈装两件套中老年人女装60岁70衣服80,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1sALOQXXXXXaPaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547242639456&ns=1&abbucket=0,89.00,3158人付款,浙江 杭州,OLY-BD1814-02 ,欧力羽 ,适中 ,聚酯 ,2017年夏季 ,,抽象图案 ,60周岁以上 ,,直筒 ,两件套 ,套头 ,常规 ,,圆领 ,,,,96%及以上 ,褶皱 
中老年人女装夏装棉麻套装40-50-60岁中年妈妈装短袖阔褪裤两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2244880204/TB2JGgTlHBmpuFjSZFAXXaQ0pXa_!!2244880204.jpg,https://item.taobao.com/item.htm?id=545277884745&ns=1&abbucket=0#detail,68.00,3285人付款,上海,,,薄,棉麻,2017年春季,时尚,花鸟图案,40-49周岁,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,,绣花
母亲节衣服中老年女装套装4050岁妈妈夏装两件套雪纺上衣2017新款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1.pANQVXXXXa8aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548476526860&ns=1&abbucket=0,128.00,3919人付款,江苏 苏州,H2063 ,HANMADAMS/汉貂夫人 ,,聚酯 ,2017年夏季 ,时尚 ,条纹 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,,,,91%(含)-95%(含) ,
胖妈妈装夏装套装40-50-60岁纯棉麻七分裤 中老年女装夏装短袖t恤,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2928530300/TB2PAp2leJ8puFjy1XbXXagqVXa_!!2928530300.jpg,https://item.taobao.com/item.htm?id=546512641526&ns=1&abbucket=0#detail,29.90,2894人付款,江苏 苏州,8899,自创品牌,薄,"纯棉,棉麻,麻","2017年春季,2017年夏季",民族风,纯色,40-49周岁,七分裤,宽松,两件套,开衫,中长款,,V领,常规,三粒扣,,96%及以上,绣花
母亲节中老年女装新款夏装大码中年妈妈装春装休闲短袖运动套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1mpnGRXXXXXXwXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547851213521&ns=1&abbucket=0,159.00,4136人付款,湖北 武汉,ZX17B88805 ,籽煊 ,薄 ,棉 ,2017年夏季 ,运动 ,纯色 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,81%(含)-90%(含) ,口袋 
母亲节衣服中老年女夏装30-40-50岁上衣中年妈妈2017新款短袖套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1712828660/TB21ATMowxlpuFjSszbXXcSVpXa_!!1712828660.jpg,https://item.taobao.com/item.htm?id=547149009808&ns=1&abbucket=0#detail,29.00,2252人付款,江苏 苏州,qs3221603,,薄,聚酯,2017年夏季,时尚,花鸟图案,40-49周岁,七分裤,宽松,两件套,套头,短款,,圆领,常规,,,96%及以上,
母亲节妈妈装夏装套装短袖t恤2017新款中老年女装50上衣服两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1fVZiQFXXXXaiXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549152042390&ns=1&abbucket=0,159.00,3637人付款,湖北 武汉,LW17C420 ,Lonwill/乐力欧 ,适中 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,九分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,纽扣 
母亲节夏季衣服套装70岁奶奶中老年人女装夏装妈妈短袖老人太太60,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1Dxq2QVXXXXaSXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548454227614&ns=1&abbucket=0,128.00,3251人付款,江苏 苏州,194500008 ,欢喜妈妈 ,薄 ,其他 ,2017年夏季 ,知性 ,纯色 ,60周岁以上 ,九分裤 ,宽松 ,两件套 ,开衫 ,常规 ,,V领 ,常规 ,单排扣 ,,96%及以上 ,绣花 
民族风妈妈装唐装套装中老年人女装夏装短袖两件套老人奶奶衣服女,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB16UF3QFXXXXcHaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548673014179&ns=1&abbucket=0,128.00,3284人付款,浙江 嘉兴,CBZ17X1676-712 ,CABENZIOE/卡贝姿 ,薄 ,其他 ,2017年夏季 ,福态 ,复古图案 ,60周岁以上 ,九分裤 ,宽松 ,两件套 ,开衫 ,常规 ,,圆领 ,常规 ,单排扣 ,,96%及以上 ,绣花 
母亲节衣服妈妈装夏装大码两件套装中老年女装雪纺衫中年女裤子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1mLHzQFXXXXcqXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=45592800033&ns=1&abbucket=0,99.00,3948人付款,浙江 杭州,P510354G1 ,胖织缘福 ,薄 ,聚酯 ,2015年夏季 ,时尚 ,花鸟图案 ,40-49周岁 ,长裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,,,,96%及以上 ,
2017中老年人女装套装40-50岁60妈妈装夏装大码奶奶装短袖T恤70春,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB16KBpQpXXXXX0XpXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=547471622944&ns=1&abbucket=0#detail,59.00,2540人付款,江苏 苏州,KF-201709,枫韵情,适中,其他,"2017年夏季,2017年春季",通勤,花色,50-59周岁,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,96%及以上,
香颜妈妈装夏装套装40-50岁中老年女装夏季两件套短袖上衣服装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1ip5BQVXXXXbCXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549635255723&ns=1&abbucket=0,139.00,3589人付款,浙江 嘉兴,XYDLYC2017-723-1 ,香颜 ,适中 ,聚酯 ,2017年夏季 ,时尚 ,其他 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,V领 ,常规 ,,,96%及以上 ,绑带 
老年人女装夏装40-50岁妈妈装棉麻套装中老年短袖t恤阔腿裤两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1682768129/TB2Dn5ri_cCL1FjSZFPXXXZgpXa_!!1682768129.jpg,https://item.taobao.com/item.htm?id=548841686517&ns=1&abbucket=0#detail,59.00,2372人付款,江苏 苏州,,自主品牌,薄,"棉,麻",2017年夏季,民族风,大花,50-59周岁,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,96%及以上,口袋
中老年女装雪纺短袖夏装套装妈妈装雪纺衫上衣+裤子中年人两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i6/TB1zdbSQXXXXXaKXFXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=547117384105&ns=1&abbucket=0#detail,39.90,2110人付款,江苏 苏州,,,薄,"聚酯,其他",2017年夏季,民族风,大花,40-49周岁,七分裤,宽松,两件套,套头,中长款,,圆领,荷叶袖,,,,
母亲节妈妈装夏装中老年女装套装夏装中年两件套宽松短袖T恤服饰,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1zPPvJVXXXXcUXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=532069357872&ns=1&abbucket=0,38.90,3379人付款,北京,LN1003 ,诗扬 ,,其他 ,2016年夏季 ,民族风 ,纯色 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,纽扣 
中老年女装奶奶装七分裤妈妈装夏装短袖套装607080岁老年人两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2649718869/TB2dzmshhXlpuFjSsphXXbJOXXa_!!2649718869.jpg,https://item.taobao.com/item.htm?id=528967886734&ns=1&abbucket=0#detail,36.00,2275人付款,江苏 苏州,,,适中,聚酯,2017年夏季,福态,复古图案,50-59周岁,九分裤,宽松,两件套,开衫,常规,,圆领,其他,单排扣,,,绣花
母亲节中年女夏装两件套装连衣裙妈妈春装外套女40-50岁2017新款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB11aCOQpXXXXcyXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=537555302478&ns=1&abbucket=0,148.00,4550人付款,浙江 嘉兴,ZMT-16Q2008 ,卓美特 ,适中 ,其他 ,2017年春季 ,时尚 ,纯色 ,40-49周岁 ,,宽松 ,两件套 ,开衫 ,中长款（衣长50-70CM） ,,立领 ,常规 ,一粒扣 ,,96%及以上 ,纽扣 
中老年女装夏装妈妈装长袖T恤雪纺衫短袖套装40-50岁大码上衣裤子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/785884220/TB2dZivnFXXXXbfXpXXXXXXXXXX_!!785884220.jpg,https://item.taobao.com/item.htm?id=44921890389&ns=1&abbucket=0#detail,19.60,1457人付款,江苏 苏州,,重拾青春,适中,"雪纺,聚酯,其他","2017年春季,2017年夏季",时尚,花色,50-59周岁,,宽松,单件,套头,常规,,圆领,常规,,,,绣花
